model,rmse_training mean cv,rmse_validation mean cv,rmse_testing mean cv,r2_training mean cv,r2_validation mean cv,r2_testing mean cv
LinearRegression,1.22039,5.85637,3.72771,0.97771,0.48375,0.87696
ElasticNet,1.29408,4.54994,3.66431,0.97494,0.68909,0.88111
BayesianRidge,1.85493,3.19017,3.68221,0.94851,0.84761,0.87995
DecisionTreeRegressor,0.18792,4.8792,4.38253,0.99946,0.64202,0.82994
XGBRegressor,0.02135,3.73316,4.06891,0.99999,0.79112,0.85341
LGBMRegressor,2.44493,3.25716,3.73686,0.90966,0.84094,0.87636
Ridge,1.23439,5.24562,3.69785,0.9772,0.58554,0.87892
Lasso,1.23017,5.51143,3.70979,0.97736,0.54289,0.87814
PoissonRegressor,0.25949,304.61567,21.85015,0.99898,-1612.64207,-3.22736
