model,rmse_training mean cv,rmse_validation mean cv,rmse_testing mean cv,r2_training mean cv,r2_validation mean cv,r2_testing mean cv
LinearRegression,2.79818,2.98257,3.77758,0.88291,0.86673,0.87365
ElasticNet,2.80202,2.9825,3.7816,0.88259,0.86674,0.87338
BayesianRidge,2.81621,2.98582,3.79629,0.88139,0.86645,0.87239
DecisionTreeRegressor,0.09575,4.49725,4.06067,0.99986,0.69671,0.854
XGBRegressor,0.01272,3.69615,4.36226,1.0,0.79504,0.83151
LGBMRegressor,2.08393,3.08003,3.57814,0.93426,0.85762,0.88664
Ridge,2.79824,2.98261,3.77765,0.8829,0.86672,0.87364
Lasso,2.79868,2.98239,3.77804,0.88287,0.86674,0.87362
PoissonRegressor,3.11194,5.51308,6.21004,0.85517,0.54,0.65853
